,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome,blackPercentage,americanIndianPercentage,asianPercentage,nativePercentage,otherPercentage,twoOrMorePercentage,hispanicPercentage,whitePercentage,leaving1,leaving2,leaving3,leaving4,leaving5,leaving6,leaving7,leaving8,leaving9,leaving10
328,1400000US17031252101,17031252101,"Census Tract 2521.01, Cook County, Illinois","Census Tract 2521.01, Cook County, Illinois",522,228,,20141.0,93.9,0.0,0.0,0.0,3.5,2.6,3.5,0.0,0.0,6.1,6.6,0.0,6.6,14.0,14.9,12.3,0.0,39.5
329,1400000US17031252102,17031252102,"Census Tract 2521.02, Cook County, Illinois","Census Tract 2521.02, Cook County, Illinois",2430,775,,25881.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,7.6,0.0,0.0,19.4,7.5,6.8,18.3,20.0,0.0,20.4
330,1400000US17031252201,17031252201,"Census Tract 2522.01, Cook County, Illinois","Census Tract 2522.01, Cook County, Illinois",799,268,,30417.0,95.9,0.0,0.0,0.0,0.0,4.1,4.1,0.0,2.2,0.0,0.0,32.1,0.0,22.4,6.3,13.1,0.0,23.9
331,1400000US17031252202,17031252202,"Census Tract 2522.02, Cook County, Illinois","Census Tract 2522.02, Cook County, Illinois",1275,533,,25010.0,96.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4,8.4,2.3,0.0,8.1,9.4,5.3,5.3,2.1,17.3,42.0
332,1400000US17031260100,17031260100,"Census Tract 2601, Cook County, Illinois","Census Tract 2601, Cook County, Illinois",398,191,,23667.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,22.0,0.0,9.9,2.6,10.5,7.9,36.6
333,1400000US17031260200,17031260200,"Census Tract 2602, Cook County, Illinois","Census Tract 2602, Cook County, Illinois",351,79,,26679.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,6.3,0.0,20.3,0.0,26.6,0.0,12.7,0.0,13.9
334,1400000US17031260300,17031260300,"Census Tract 2603, Cook County, Illinois","Census Tract 2603, Cook County, Illinois",470,115,,29677.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,10.4,28.7,0.0,0.0,0.0,46.1
335,1400000US17031260400,17031260400,"Census Tract 2604, Cook County, Illinois","Census Tract 2604, Cook County, Illinois",290,90,,20523.0,82.2,0.0,0.0,0.0,0.0,0.0,0.0,17.8,5.6,0.0,0.0,17.8,0.0,28.9,0.0,7.8,11.1,28.9
336,1400000US17031260500,17031260500,"Census Tract 2605, Cook County, Illinois","Census Tract 2605, Cook County, Illinois",439,137,,32031.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.7,4.4,3.6,5.1,0.0,9.5,8.0,46.0,0.7,21.9
337,1400000US17031260600,17031260600,"Census Tract 2606, Cook County, Illinois","Census Tract 2606, Cook County, Illinois",393,69,,19688.0,91.3,0.0,0.0,0.0,0.0,0.0,8.7,0.0,15.9,11.6,0.0,13.0,0.0,0.0,0.0,0.0,0.0,59.4
338,1400000US17031260700,17031260700,"Census Tract 2607, Cook County, Illinois","Census Tract 2607, Cook County, Illinois",399,203,,21076.0,82.3,0.0,0.0,0.0,2.0,4.9,2.0,10.8,2.5,0.0,0.0,10.8,5.9,6.9,0.0,22.7,0.0,51.2
339,1400000US17031260800,17031260800,"Census Tract 2608, Cook County, Illinois","Census Tract 2608, Cook County, Illinois",682,270,,26944.0,85.6,0.0,0.0,0.0,4.4,4.4,4.4,5.6,16.3,4.1,0.0,12.6,2.2,9.6,7.8,9.6,0.0,37.8
340,1400000US17031260900,17031260900,"Census Tract 2609, Cook County, Illinois","Census Tract 2609, Cook County, Illinois",340,124,,19067.0,68.5,0.0,0.0,0.0,16.1,0.0,16.1,15.3,20.2,0.0,0.0,11.3,0.0,11.3,0.0,27.4,0.0,29.8
341,1400000US17031261000,17031261000,"Census Tract 2610, Cook County, Illinois","Census Tract 2610, Cook County, Illinois",679,153,,27448.0,88.9,0.0,0.0,0.0,0.0,7.8,3.3,0.0,0.0,5.9,6.5,0.0,4.6,9.8,3.3,7.8,0.0,62.1
342,1400000US17031270500,17031270500,"Census Tract 2705, Cook County, Illinois","Census Tract 2705, Cook County, Illinois",497,158,,20063.0,86.1,0.0,0.0,0.0,13.9,0.0,13.9,0.0,0.0,0.0,18.4,0.0,10.8,5.7,15.2,3.8,1.9,44.3
343,1400000US17031271200,17031271200,"Census Tract 2712, Cook County, Illinois","Census Tract 2712, Cook County, Illinois",304,119,,26667.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,4.2,5.0,16.0,3.4,15.1,3.4,20.2,3.4,29.4
344,1400000US17031271300,17031271300,"Census Tract 2713, Cook County, Illinois","Census Tract 2713, Cook County, Illinois",372,181,,28500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,15.5,24.3,19.3,0.0,12.7,0.0,23.8
345,1400000US17031271400,17031271400,"Census Tract 2714, Cook County, Illinois","Census Tract 2714, Cook County, Illinois",424,180,,35357.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.2,12.8,3.9,0.0,30.0,0.0,31.1
346,1400000US17031271500,17031271500,"Census Tract 2715, Cook County, Illinois","Census Tract 2715, Cook County, Illinois",540,167,,19797.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,4.8,22.8,0.0,0.0,5.4,0.0,19.8,4.2,0.6,2.4,44.9
347,1400000US17031271800,17031271800,"Census Tract 2718, Cook County, Illinois","Census Tract 2718, Cook County, Illinois",155,39,,17893.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,46.2,0.0,30.8
